code,match_type,subtype,group_name,is_dementia,is_specific_subtype,priority,note
F000,exact,AD,Alzheimer's Disease,1,1,1,
F001,exact,AD,Alzheimer's Disease,1,1,1,
F002,exact,AD,Alzheimer's Disease,1,1,1,
F009,exact,AD,Alzheimer's Disease,1,1,1,
G300,exact,AD,Alzheimer's Disease,1,1,1,
G301,exact,AD,Alzheimer's Disease,1,1,1,
G308,exact,AD,Alzheimer's Disease,1,1,1,
G309,exact,AD,Alzheimer's Disease,1,1,1,
F010,exact,VaD,Vascular Dementia,1,1,1,
F011,exact,VaD,Vascular Dementia,1,1,1,
F012,exact,VaD,Vascular Dementia,1,1,1,
F013,exact,VaD,Vascular Dementia,1,1,1,
F018,exact,VaD,Vascular Dementia,1,1,1,
F019,exact,VaD,Vascular Dementia,1,1,1,
G318,exact,Other,Other Specified Degenerative Dementia,1,1,1,Includes possible DLB coding but kept under Other per documentation
F020,exact,Other,Frontotemporal Dementia,1,1,1,
G310,exact,Other,Frontotemporal Dementia,1,1,1,
F023,exact,Other,Parkinson's Disease Dementia,1,1,1,
G232,exact,Other,Multiple System Atrophy,1,1,1,
G233,exact,Other,Multiple System Atrophy,1,1,1,
G231,exact,Other,Progressive Supranuclear Palsy,1,1,1,
F021,exact,Other,Other Dementia,1,1,1,
F022,exact,Other,Other Dementia,1,1,1,
F024,exact,Other,Other Dementia,1,1,1,
F028,exact,Other,Other Dementia,1,1,1,
F03,exact,Unspecified,Unspecified Dementia,1,0,2,Specific subtypes take precedence over F03 in label assignment
