drug_code,drug_name_normalized,drug_class,include_in_cohort,exclude_hook,note
ARIP-T-,Donepezil,AChEI,1,,
ARIP1T-,Donepezil,AChEI,1,,
ARIT-T-,Donepezil,AChEI,1,,
DONC-T-,Donepezil,AChEI,1,,
DOND-T-,Donepezil,AChEI,1,,
DOND1T-,Donepezil,AChEI,1,,
DONT-T-,Donepezil,AChEI,1,,
DONZ-T-,Donepezil,AChEI,1,,
EBIX-S-,Memantine HCl,Memantine,1,,
EBIX-T-,Memantine HCl,Memantine,1,,
EBIX1T-,Memantine HCl,Memantine,1,,
EBXA-S-,Memantine HCl,Memantine,1,,
ELAP-S-,Rivastigmine Tartate,AChEI,1,,
EXEL-S-,Rivastigmine Tartate,AChEI,1,,
EXEL-S1,Rivastigmine Tartate,AChEI,1,,
EXEL1C-,Rivastigmine Tartate,AChEI,1,,
EXEL1X-,Rivastigmine Base,AChEI,1,,
EXEL2C-,Rivastigmine Tartate,AChEI,1,,
EXEL2X-,Rivastigmine Base,AChEI,1,,
EXEL3C-,Rivastigmine Tartate,AChEI,1,,
EXEL3X-,Rivastigmine Base,AChEI,1,,
EXEL4C-,Rivastigmine Tartate,AChEI,1,,
EXEL5C-,Rivastigmine Tartate,AChEI,1,,
MEMA-T-,Memantine HCl,Memantine,1,,
MEME-T-,Memantine HCl,Memantine,1,,
REMN1T-,Galantamine,AChEI,1,,
REMN2T-,Galantamine,AChEI,1,,
REMN3C-,Galantamine,AChEI,1,,
REMN4C-,Galantamine,AChEI,1,,
